テキスト	概要
{戻る操作} 戻る	ステータス画面の操作案内
見習い魔女 ルネ	ステータス画面のプレイヤー見出し
所持金 {金額}G	ステータス画面の所持金表示
強化素材	ステータス画面の素材見出し
スペルリング	ステータス画面のリング見出し
アイテム %02d/%02d	リング装着数の表示
重量 %.1f/%.1fkg	リング重量の表示
所持数 %d/%d	アイテム取得通知の所持数表示
アイテムを入手した	通常アイテム取得通知のタイトル
はじめて入手した！	初取得通知のタイトル
お礼をもらった！	ダンジョンイベント報酬通知のタイトル
魔女からのお礼	ダンジョンイベント報酬通知の説明
素材	報酬通知の素材種別
お金	報酬通知またはHUDの所持金種別
古木の建材	素材名
強化鉱石	素材名
月のカケラ	素材名
魔力のしずく	素材名
アイテムなし	アイテム画面の空状態
アイテムなし	アイテム画面の空状態
アイテム未選択	アイテム画面の未選択状態
アイテム未選択	リング・拠点画面の未選択状態
個体アイテム未選択	個体アイテム操作の未選択状態
ショートカット空き	空のショートカット状態
並び替えました	アイテム並び替え完了
並び替え	アイテム並び替えボタン
{決定操作} 決定  {戻る操作} 戻る  {リング配置操作} リングへ  {保護操作} 保護  {移動操作} つかむ/置く  {整列操作} 並び替え	アイテム画面の操作案内
装備する	杖などの装備コマンド
使用する	アイテム使用コマンド
外す	杖装備解除コマンド
リングへ	アイテムをリングへ入れるコマンド
捨てる	アイテム破棄コマンド
保護	アイテム保護コマンド・ラベル
保護を解除	アイテム保護解除コマンド
保護中	保護されたアイテムの状態
保護ON	保護を有効にした状態
保護OFF	保護を無効にした状態
確認	ゲーム終了・アイテム破棄などの汎用確認タイトル
{アイテム名}を捨てる？	アイテム破棄の確認文
（捨てたアイテムは再入手できないよ）	アイテム破棄の注意書き
捨てた: {アイテム名}	アイテム破棄完了の状態表示
重要アイテムは捨てられないよ	重要アイテム破棄のエラー
保護中のアイテムは捨てられないよ	保護アイテム破棄のエラー
装備中の杖は捨てられないよ	装備中の杖破棄のエラー
捨てられないよ	アイテム破棄の汎用エラー
つかみ中	アイテムをつかんでいる状態
入れ替え	アイテム入れ替えの状態表示
配置	アイテム配置の状態表示
配置できないよ	アイテム配置のエラー
つかみ中は使用できないよ	つかみ中の使用エラー
つかみ中はリング移動できないよ	つかみ中のリング移動エラー
つかみ中は装備変更できないよ	つかみ中の装備変更エラー
つかみ中は保護変更できないよ	つかみ中の保護変更エラー
つかみ中は捨てられないよ	つかみ中の破棄エラー
つかみ中は配置してください	つかみ状態で画面を戻る際の案内
個体アイテムのみ保護できます	保護対象外のエラー
インベントリ満杯	インベントリ満杯の状態
リュックがいっぱいだよ	リュック満杯の状態
リュックにないよ	対象アイテム不在の状態
壊れています	破損アイテムの状態
杖は装備用だよ	杖の通常使用エラー
通常効果なし	使用効果がない状態
未実装効果	使用効果未実装の状態
体力は満タン	回復アイテム使用不可の状態
使用: {アイテム名}	アイテム使用完了の状態表示
杖を装備していないよ	杖装備解除時のエラー
杖を外したよ	杖装備解除完了
杖ではないよ	杖以外を装備しようとしたエラー
壊れた杖は装備できないよ	破損した杖の装備エラー
リングから外してから装備してください	リング上の杖の装備エラー
杖を装備したよ: {アイテム名}	杖装備完了の状態表示
杖がないよ	杖アイテム不在の状態
装備中の杖はリングに乗せられないよ	装備中の杖をリングへ置く際のエラー
リング満杯	リングの空き不足
リングへ配置できないよ	リング配置の汎用エラー
リングに追加: {アイテム名}	リング配置完了の状態表示
{リング名}へ配置できないよ	指定リングへの配置エラー
{リング名}満杯	指定リングの空き不足
{リング名}に追加: {アイテム名}	指定リングへの配置完了
壊れた	破損アイテム名の接頭辞
軽	軽量化済みアイテムのバッジ
大	大型化済みアイテムのバッジ
強化	アイテム詳細の強化見出し
分類	アイテム詳細の分類ラベル
耐久力	アイテム詳細の耐久力ラベル
重量	アイテム・リング詳細の重量ラベル
壊れない	壊れないアイテムの耐久表示
装備時効果	アイテム詳細の装備効果見出し
使用時の効果	アイテム詳細の使用効果見出し
リングに乗せたときの効果	アイテム詳細のリング効果見出し
速度	装備効果・リング詳細の速度項目
半径	装備効果・リング詳細の半径項目
重量上限	装備効果の重量上限項目
ずらし距離	装備効果のリングずらし距離項目
投げ距離	装備効果のリング投げ距離項目
投げ速度	装備効果のリング投げ速度項目
投げクールダウン	装備効果のリング投げ再使用時間項目
戻り速度	装備効果のリング帰還速度項目
最終出力	装備効果の出力項目
アンカー	装備効果のアンカー項目
速度ダメージ	装備効果の速度ダメージ項目
照明半径	装備効果の照明範囲項目
探知範囲	装備効果の探知範囲項目
防御範囲	装備効果の防御範囲項目
反射威力	装備効果の反射威力項目
反射確率	装備効果の反射確率項目
過積載停止	装備効果の過積載停止項目
掘削力	アイテム・装備効果の掘削力項目
耐久消費	装備効果の耐久消費項目
売却価格	装備効果の売却価格項目
お金表示Lv	装備効果のお金表示レベル項目
危険ヒントLv	装備効果の危険ヒントレベル項目
未実装の装備効果: {効果名}	未対応装備効果の表示
リング配置	リング管理画面の見出し
{リング名}	リング詳細のタイトル
形状	リング詳細の形状ラベル
装着	リング詳細の装着数ラベル
状態	リング詳細・加工詳細・加工プレビューの項目名
重量余裕あり	リング重量の状態
重量あと少し	リング重量の状態
重量いっぱい	リング重量の状態
重量オーバー	リング重量超過の状態
超重量オーバー	リング重量大幅超過の状態
リング停止中	重量超過によるリング停止状態
リング速度 ×%.2f倍	リング速度倍率の表示
アイテムを配置	リングコマンド
位置を移動	リングコマンド
リングから外す	リングコマンド
アイテム配置	リングへの配置画面タイトル
{決定操作} 配置  {戻る操作} 戻る	リングへの配置画面の操作案内
配置できるアイテムがないよ	リング配置候補なしの状態
過積載限界のため配置できないよ	リング過積載限界のエラー
この位置には配置できないよ	リング配置位置のエラー
外せるアイテムがないよ	リング解除対象なしの状態
インベントリ満杯のため外せないよ	リング解除時の空き不足
外せるアイテムをすべて戻したよ	リング一括解除完了
空き枠分だけ重い順に{個数}個戻したよ	リング一括解除の一部完了
このアイテムは外せないよ	リング解除不可の状態
インベントリへ戻したよ	リング解除完了
このアイテムは捨てられないよ	リング上アイテムの破棄不可
移動モード	リング配置の移動状態
配置をキャンセルしたよ	リング配置キャンセル
このアイテムは配置できないよ	リング配置不可の状態
リングに配置したよ	リング配置完了
移動をキャンセルしたよ	リング移動キャンセル
位置を確定したよ	リング配置位置の確定
その位置には移動できないよ	リング移動位置のエラー
等間隔に整列したよ	リング整列完了
アイテム未配置だよ	リングが空の状態
ドラッグをキャンセルしたよ	リングドラッグキャンセル
近い空き位置へ補正したよ	リング配置位置の自動補正
近くに空きがないため元の位置へ戻したよ	リング配置位置補正の失敗
移動中: {アイテム名}	リング配置移動中の表示
{決定操作} 確定  {戻る操作} キャンセル	リング位置調整の操作案内（位置変更操作は非表示）
{決定操作} コマンド  {戻る操作} 戻る  {前後切替操作} リング切替  {移動操作} 移動  {整列操作} 並び替え  {リング配置操作} 外す  {一括解除操作} 全部外す  {保護操作} 保護	リング管理画面の操作案内
プリセット{番号}を呼び出したよ	リングプリセット呼出完了
配置 {個数}	リングプリセットの配置数
不足 {個数}	リングプリセットの不足数
配置不可 {個数}	リングプリセットの配置不可数
プリセット{番号}は未登録だよ	リングプリセット未登録の状態
リングプリセットは未解禁だよ	リングプリセット未解禁の状態
プリセット{番号}は未解禁だよ	指定プリセット未解禁の状態
プリセット登録に失敗したよ	リングプリセット登録失敗
プリセット{番号}に登録したよ	リングプリセット登録完了
リュックがいっぱいでリングを入れ替えられないよ	プリセット呼出時の空き不足
リュックのアイテムを移動できなかったよ	プリセット呼出時の移動失敗
魔女の拠点	拠点のエリア名・画面タイトル
ルネの家	自宅のエリア名・画面タイトル
拠点	拠点の汎用エリア名
ダンジョン入口	拠点施設・メニュー項目名
収納箱	拠点施設・保存先名
商人ワゴン	拠点施設名
拠点強化炉	拠点施設名
作業台	拠点施設名
本棚	拠点施設名
日記	拠点施設名
リング工房	拠点施設名
商人	拠点NPC名
加工職人	拠点NPC名
モニカ	拠点NPC名・通信の話者名
村長	拠点NPC名
屋外へ戻る出口	自宅内施設名
ベッド	自宅内施設名
ルネの家の入口	拠点施設名
{決定操作} 決定  {戻る操作} 戻る	拠点施設メニューの操作案内
{決定操作} 決定  {戻る操作} 戻る  {前後切替操作} 行き先切替	複数の行き先があるダンジョン入口の操作案内
{決定操作} 決定  {戻る操作} 戻る  {前後切替操作} リング切替	複数リング解禁時のリング工房の操作案内
{決定操作} 決定  {戻る操作} 戻る	リングが1本だけのリング工房の操作案内
{操作案内}  {前後切替操作} 対象切替	収納箱・商人・作業台で切替先が複数ある場合の操作案内
{操作案内}  {前後切替操作} ページ切替	収納箱の取り出しページが複数ある場合の操作案内
{決定操作} 近くの施設を調べる  {メニュー操作} メニュー	拠点移動の操作案内
{決定操作} {施設名}を調べる  {メニュー操作} メニュー	拠点施設の調査案内
{決定操作} {人物名}と話す  {メニュー操作} メニュー	拠点NPCの会話案内
{決定操作} {施設名}に入る  {メニュー操作} メニュー	拠点施設への入場案内
{決定操作} 屋外へ戻る  {メニュー操作} メニュー	自宅から屋外へ戻る案内
近くまで移動してください	拠点施設が遠い場合の案内
ルネの家に入りました	自宅入場の状態表示
魔女の拠点に戻りました	自宅・ダンジョンから拠点へ戻った状態表示
行き先	ダンジョン入口の行先見出し
出発	ダンジョン出発ボタン
どこから採掘を開始する？	ダンジョン開始地点の質問
入口	ダンジョン開始地点の選択肢
ワープポイント	ダンジョン開始地点の選択肢
ダンジョンを再生成する	ダンジョン開始方法の選択肢
入口から出発	入口開始の説明
ワープポイントを解放すると可能	ワープ開始未解禁の説明
解放済み地点から選んで出発	ワープ開始の説明
全ワープ解放とクリア後に可能	再生成未解禁の説明
地形・敵・宝箱・ワープ配置を作り直す	ダンジョン再生成の説明
ワープポイント選択	ワープ開始地点選択のタイトル
{決定操作} 出発  {戻る操作} 戻る	ワープ開始地点選択の操作案内
どのワープポイントにする？	ワープ開始地点選択の質問
解放済みワープポイントがないよ	ワープ開始地点なしの状態
ワープ%d（%dm）	ワープ開始地点の表示
再生成確認	ダンジョン再生成確認のタイトル
現在の坑道状態を破棄して、地形・敵・宝箱・ワープポイントを作り直します。\n拾っていないドロップがある場合は消えます。\nボス再戦用に地形も作り直します。	ダンジョン再生成の注意書き
再生成する	ダンジョン再生成の実行ボタン
出発確認	ダンジョン出発確認のタイトル
はい	汎用確認の肯定ボタン
いいえ	汎用確認の否定ボタン
壊れたアイテムがリングに乗ってるよ　このまま出発する？	破損アイテム装着時の出発確認
このダンジョンはローグライクダンジョンだよ	ローグライク出発確認の説明
以下の特殊ルールが設定されています	ローグライク出発確認の見出し
出発する？	ローグライク出発確認の質問
アイテムや装備の持ち込み不可	ローグライク特殊ルール
ルネのレベルは1からスタート	ローグライク特殊ルール
ダンジョン内には様々なアイテムが出現するが、今まで入手したことのないアイテムは出現しない	ローグライク特殊ルール
アイテムにおいて未発見の「リングに乗せた時の効果」が発動しても、発見したことにならない	ローグライク特殊ルール
アイテム「虫眼鏡」は登場しない	ローグライク特殊ルール
今までアイテム「虫取りアミ」で捕獲したことがない敵は、本ダンジョン内で捕獲することができない	ローグライク特殊ルール
本ダンジョン内で得たものは、帰還に成功しない限りすべて失う	ローグライク特殊ルール
入るたび姿を変える底なしの迷宮\n持ち込み不可で、初期ステータスから奥を目指す	ローグライクダンジョンの固定説明
採掘しながら奥へ進むダンジョン\nワープポイントを見つけると次回以降の出発地点にできる	通常ダンジョンの固定説明
難易度	ステージ詳細の項目名
広さ	ステージ詳細の項目名
壁の固さ	ステージ詳細の項目名
地形	ステージ詳細の項目名
出現する敵	ステージ詳細の見出し
ワープ	ステージ詳細の項目名
不明	未確認情報の表示値
むずかしい	ステージ難易度の表示値
ふつう	ステージ難易度の表示値
やさしい	ステージ難易度の表示値
底なし	ステージの広さ表示
かなり広い	ステージの広さ表示
広い	ステージの広さ表示
広くない	ステージの広さ表示
かため	壁の固さ表示
やわらかめ	壁の固さ表示
複雑	地形の複雑さ表示
少し	地形の複雑さ表示
そこまで	地形の複雑さ表示
不可思議の迷宮踏破エンド	本棚のエンディング項目名
アイテム図鑑	本棚・日記の項目名
モンスター図鑑	本棚・日記の項目名
エンディングを見る	本棚の項目名
エンド1	エンディング項目名
図鑑コンプリートエンド	エンディング項目名
エンディング	本棚のエンディング分類
何を見ますか？	本棚メニューの質問
{戻る操作} 戻る	図鑑一覧画面の操作案内
%d/%d 記録	図鑑の記録数表示
完成度 %d%%	図鑑の完成度表示
記録対象がないよ	図鑑対象なしの状態
未発見	図鑑の未発見状態
発見済み	図鑑の発見済み状態
入手済み	図鑑の入手済み状態
リング装備済み	図鑑の進行状態
効果発動済み	図鑑の進行状態
完全確認済み	図鑑の完全確認状態
攻撃力	図鑑・加工詳細の項目名
移動速度	モンスター図鑑の項目名
？？？	未確認値の表示
虫眼鏡で観察すると詳細が記録されるよ	モンスター図鑑の観察案内
報酬	モンスター図鑑の項目名
捕獲難易度	モンスター図鑑の項目名
敵未選択	モンスター図鑑の未選択見出し
敵を選択してね	モンスター図鑑の選択案内
売値	アイテム詳細の売値ラベル
売却不可	売却できない状態
未入手	未発見アイテムの説明
アイテムを選択してね	アイテム図鑑の選択案内
記録なし	日記の記録なし表示
進行	日記の進行見出し
ストーリークリア	日記の進行状態
ルネ	日記のプレイヤー名ラベル
プレイ時間	日記のプレイ時間ラベル
保存する？	日記のセーブ確認
保存	日記のセーブ実行ボタン
もう一度試すか、戻ってください	セーブ失敗時の案内
再試行	セーブ再試行ボタン
保存したよ	日記のセーブ完了表示
閉じる	結果ダイアログを閉じるボタン
保存先作成に失敗	セーブ先作成エラー
セーブ失敗	セーブ処理エラー
セーブ書込に失敗	セーブ書込エラー
セーブしたよ	セーブ完了の状態表示
セーブ読込完了	起動時のセーブ読込完了通知
データ読込完了	起動時のデータ読込完了通知
ローカルデータ読込完了	ローカルデータ読込完了通知
データ読込失敗	データ読込失敗通知
シートデータ読込完了	シート接続時のデータ読込完了通知
シートデータ読込失敗	シート接続時のデータ読込失敗通知
採掘状態を初期化中	ダンジョン構築の進行表示
画面状態を整理中	ダンジョン構築の進行表示
ラン情報を初期化中	ダンジョン構築の進行表示
ダンジョン形状を生成中	ダンジョン構築の進行表示
ワープポイントを配置中	ダンジョン構築の進行表示
月のカケラを配置中	ダンジョン構築の進行表示
報酬を配置中	ダンジョン構築の進行表示
宝箱を配置中	ダンジョン構築の進行表示
木箱を配置中	ダンジョン構築の進行表示
敵の配置を準備中	ダンジョン構築の進行表示
スペルリングを準備中	ダンジョン構築の進行表示
入口を読み込み中	ダンジョン構築の進行表示
採掘へ移行中	ダンジョン構築の進行表示
完了	処理完了の進行表示
採掘準備中	ダンジョン構築の進行表示
旅商人	ローグライク施設名
旅の加工職人	ローグライク施設名
修練者	ローグライク施設名
施設	ローグライク施設の汎用名
{決定操作} 調べる	ローグライク施設の操作案内
旅商人 購入	野良商人の購入画面タイトル
旅商人 売却	野良商人の売却画面タイトル
商人ワゴン 購入	商人の購入画面タイトル
商人ワゴン 売却	商人の売却画面タイトル
何を見ていくんだい？	商人メニューの質問
買う	商人の購入コマンド
売る	商人の売却コマンド
買う個数	購入数量選択のタイトル
売る個数	売却数量選択のタイトル
まとめて売る	商人の一括売却コマンド
全選択	一括操作の全選択ボタン
全解除	一括操作の全解除ボタン
商品がないよ	商人の商品なし表示
価格	商人の商品価格ラベル
在庫	商人の商品在庫ラベル
高価買取中!	商人の高価買取表示
売却できないよ	商人の売却不可説明
売却対象がないよ	売却対象なしの状態
売れないよ	売却不可の状態
売却したよ	売却完了の状態
売却するアイテムが選択されていないよ	一括売却の未選択状態
売却内容が変わりました	一括売却対象の変更通知
まとめ売りに失敗したよ	一括売却失敗
{個数}個を{価格}円で売却した	一括売却完了
購入できる商品がないよ	購入商品なしの状態
商品データがないよ	商品データなしの状態
品切れだよ	商品品切れの状態
所持金が足りないよ	購入・強化時の所持金不足
購入したよ（品切れ）	最後の在庫を購入した状態
購入したよ	購入完了の状態
まとめ売り	一括売却確認のタイトル
{個数}個のアイテムをまとめて売る？\n{価格}円になります	一括売却の確認文
キャンセル	確認ダイアログのキャンセルボタン
収納箱にしまう	収納画面のタイトル
収納箱から取り出す	取り出し画面のタイトル
収納箱 一括操作	収納箱の一括操作画面タイトル
収納数：%d/%d	収納箱の使用数表示
しまう	収納コマンド
取り出す	取り出しコマンド
一括操作	収納箱の一括操作コマンド
リュックを全部しまう	収納箱の全収納コマンド
プリセット1を準備	収納箱からプリセットを準備するコマンド
プリセット2を準備	収納箱からプリセットを準備するコマンド
プリセット3を準備	収納箱からプリセットを準備するコマンド
収納箱 %d/%d	収納箱の使用数表示
{個数}個選択中	一括操作の選択数表示
（収納枠 +{枠数}）	一括収納の必要枠表示
（リュック枠 +{枠数}）	一括取り出しの必要枠表示
（あと{枠数}枠必要）	一括操作の不足枠表示
まとめてしまう	一括収納コマンド・確認タイトル
まとめて取り出す	一括取り出しコマンド・確認タイトル
収納不可	収納できないアイテムの表示
このアイテムは収納箱にしまえないよ	収納不可アイテムの説明
収納箱は空だよ	収納箱の空状態
収納箱を並び替えました	収納箱の並び替え完了
しまうアイテムが選択されていないよ	一括収納の未選択状態
収納箱の空きがあと{枠数}枠必要だよ	一括収納の空き不足
収納内容が変わりました	一括収納対象の変更通知
{個数}個を収納箱にしまいました	一括収納完了
しまうアイテムがないよ	収納対象なしの状態
収納箱がいっぱいだよ	収納箱満杯の状態
しまえなかったよ	収納失敗の状態
収納箱にしまいました	収納完了の状態
装備中の杖はしまえないよ	装備中の杖の収納エラー
このアイテムはしまえないよ	収納不可の状態
取り出すアイテムがないよ	取り出し対象なしの状態
リュックに取り出したよ	取り出し完了の状態
取り出すアイテムが選択されていないよ	一括取り出しの未選択状態
リュックの空きがあと{枠数}枠必要だよ	一括取り出しの空き不足
取り出す内容が変わりました	一括取り出し対象の変更通知
取り出せないアイテムが含まれています	一括取り出しの対象エラー
{個数}個をリュックに取り出したよ	一括取り出し完了
装備中の杖以外にしまう物がないよ	全収納時の対象なし状態
{個数}個しまいました	全収納の完了状態
満杯で{個数}個残りました	全収納時の未収納数
装備中の杖は残したよ	全収納時の除外通知
プリセット{番号}の必要アイテムは手元にあります	プリセット準備済みの状態
プリセット{番号}の不足分は収納箱にないよ	プリセット不足アイテムなしの状態
プリセット{番号}ぶんを{個数}個取り出したよ	プリセット用アイテム取り出し完了
収納箱になし {個数}	プリセット準備の不足数
リュック満杯 {個数}	プリセット準備の空き不足数
取り出せず {個数}	プリセット準備の失敗数
{個数}個のアイテムをまとめてしまいますか？\n収納箱 {使用数}/{容量}	一括収納の確認文
{個数}個のアイテムをまとめて取り出す？\nリュック {使用数}/{容量}	一括取り出しの確認文
まとめ収納の選択を解除したよ	一括収納選択の解除通知
まとめ取り出しの選択を解除したよ	一括取り出し選択の解除通知
作業台で何をする？	作業台メニューの質問
一括修理	作業台の一括修理コマンド
一括修理: 対象%d個 / %dG / 強化鉱石×%d	一括修理の費用表示
修理	加工モード名
攻撃力強化	加工モード名
掘削力強化	加工モード名
耐久力強化	加工モード名
強化リセット	加工モード名
大型化	加工モード名
修理する	加工確認の実行ボタン
リセットする	加工確認の実行ボタン
加工する	加工確認の実行ボタン
強化する	強化確認の実行ボタン
実行する	加工確認の汎用実行ボタン
必要素材	加工・強化詳細の見出し
加工対象がないよ	加工対象なしの状態
加工するアイテムを選択してね	加工対象の選択案内
耐久力: 壊れない	加工前後の耐久表示
耐久力: %d/%d → %d/%d	修理前後の耐久表示
{アイテム名}を修理したよ	修理完了の結果文
状態: 破損 → 通常	修理による状態変化
{アイテム名}を強化したよ	個体強化完了の結果文
強化Lv	加工結果の強化レベル項目
抑制力	加工結果の抑制力項目
最大耐久力	加工結果の最大耐久力項目
{アイテム名}の強化をリセットしたよ	強化リセット完了の結果文
耐久補正	加工結果の耐久補正項目
軽量化したよ	軽量化完了の結果文
大型化したよ	大型化完了の結果文
大きさ	加工結果の大きさ項目
修理が必要なアイテムはないよ	一括修理対象なしの状態
強化鉱石が足りないよ	加工・強化時の素材不足
{個数}個のアイテムを修理したよ	一括修理完了の結果文
費用: {金額}G / 強化鉱石 x{個数}	一括修理の費用結果
一括修理完了	一括修理結果のタイトル
破損	加工プレビューの状態値
通常	加工・強化機能の通常状態
攻撃力補正	加工プレビューの項目名
掘削力補正	加工プレビューの項目名
耐久力補正	加工プレビューの項目名
合計強化回数	加工プレビューの項目名
{アイテム名}を修理する？	修理の確認文
{アイテム名}の強化をリセットする？	強化リセットの確認文
{アイテム名}を軽量化する？	軽量化の確認文
{アイテム名}を大型化する？	大型化の確認文
{アイテム名}を強化する？	個体強化の確認文
{アイテム名}に作業を行う？	加工の汎用確認文
この作業は未解禁だよ	加工機能の未解禁状態
この作業はできないよ	加工不可の状態
リセット不要だよ	強化リセット不要の状態
加工済みだよ	加工済みの状態
修理不要だよ	修理不要の状態
強化上限だよ	強化上限の状態
加工できないよ	加工失敗の状態
作業完了	加工結果のタイトル
このアイテムにできる作業がないよ	加工コマンドなしの状態
拠点の強化	拠点強化炉の分類見出し
ルネの強化	拠点強化炉の分類見出し
