"ID","名前","カテゴリ","説明文","レア度","基準レベル","価格","通常効果","軌道効果","攻撃力","ダメージ種別","掘削力","耐久力","重さ","画像番号","地面角度","リング角度","特殊タグ","効果テキスト","ST_C1","ST_R1","ST_S1","ST_C2","ST_R2","ST_S2","ST_C3","ST_R3","ST_S3","JK_C1","JK_R1","JK_S1","JK_C2","JK_R2","JK_S2","JK_C3","JK_R3","JK_S3","SC_C1","SC_R1","SC_S1","SC_C2","SC_R2","SC_S2","SC_C3","SC_R3","SC_S3","AS_C1","AS_R1","AS_S1","AS_C2","AS_R2","AS_S2","AS_C3","AS_R3","AS_S3","AS_C4","AS_R4","AS_S4","AS_C5","AS_R5","AS_S5","AS_C6","AS_R6","AS_S6","AS_C7","AS_R7","AS_S7","AS_C8","AS_R8","AS_S8","AS_C9","AS_R9","AS_S9"
"item_small_drill","小型ドリル","掘削","小さく扱いやすいドリル。一点を連続で削れるが、耐久は控えめ。","2","6","370","none","terrain:dig_multi:6:0","8","pierce","18","80","1.6","202","135","forward:+180","dig_tool,weapon,metal,medium,multi_hit","敵に刺突ダメージ（攻撃力8）｜連続で掘れる（掘削力18）","","","37","60","51","37","75","47","25","24","11","5","5","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_drill","ドリル","掘削","当たった場所を連続で削る回転道具。一点突破に向く。","4","12","630","none","terrain:dig_multi:8:0","12","pierce","25","145","2","6","135","forward:+180","dig_tool,weapon,metal,heavy,multi_hit,pointed","敵に刺突ダメージ（攻撃力12）｜連続で掘れる（掘削力25）","","","","","","33","","","49","63","58","39","50","36","20","20","13","7","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_steel_drill","鋼のドリル","掘削","鋼で補強されたドリル。重さはあるが、連続して硬い地面を削れる。","6","20","950","none","terrain:dig_multi:11:0","16","pierce","33","150","2.25","203","135","forward:+180","dig_tool,weapon,metal,heavy,multi_hit,hard_dig_tool","敵に刺突ダメージ（攻撃力16）｜連続で掘れる（掘削力33）","","","","","","","","","","","","41","","","60","40","65","60","47","51","33","24","22","13","6","5","3","3","3","2","3","3","1","3","3","1","2","2","1","2","2","1","2","2","1","2","2","1","1","1","1","1","1","1"
"item_earthrumble_drill","地鳴りのドリル","掘削","回転するたび地面を震わせる強力なドリル。重いが掘削性能は高い。","9","28","1330","none","terrain:dig_multi:14:0","20","pierce","41","230","2.6","7","135","forward:+180","dig_tool,weapon,metal,heavy,multi_hit,hard_dig_tool,pointed","敵に刺突ダメージ（攻撃力20）｜連続で掘れる（掘削力41）","","","","","","","","","","","","","","","","","","","","","71","","69","81","33","75","62","33","70","49","31","64","45","28","58","41","25","52","37","22","47","33","19","41","29","17","35","25","14","29","20","11","23","16"
"item_torch","松明","探索","暗い場所を照らす火のついた棒。少しだけ敵も焼ける。","1","1","160","none","area:light:5:0","4","fire","0","45","0.7","8","-25","fixed","light_source,wood,fire,small","敵に火ダメージ（攻撃力4）｜周囲を照らす（光量5）","61","36","14","48","23","7","19","8","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_good_torch","いい松明","探索","燃え方を整えた松明。普通の松明より少し明るく、少し長持ちする。","2","5","240","none","area:light:6:0","5","fire","0","75","0.75","204","-25","fixed","light_source,wood,fire,small","敵に火ダメージ（攻撃力5）｜周囲を照らす（光量6）","","30","21","52","40","19","52","30","11","11","5","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_great_torch","すごい松明","探索","よく燃える素材で作った頼れる松明。軽さを保ったまま広めに照らす。","4","12","400","none","area:light:7:0","6","fire","0","105","0.85","205","-25","fixed","light_source,wood,fire,medium","敵に火ダメージ（攻撃力6）｜周囲を照らす（光量7）","","","","","","18","","","27","47","44","21","38","27","11","15","10","4","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_lantern","ランタン","探索","広く照らせるランタン。松明より重いが明るい。","5","8","370","none","area:light:7:0","4","fire","0","75","1","9","0","fixed","light_source,metal,glass,medium","敵に火ダメージ（攻撃力4）｜周囲を照らす（光量7）","","","24","","36","31","40","48","27","27","22","9","8","6","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_magic_lantern","魔導ランタン","探索","魔力で灯るランタン。火より静かで、暗い地底を安定して照らす。","6","14","510","none","area:light:8:0","4","magic","0","115","1.05","206","0","fixed","light_source,metal,glass,magic,medium","敵に魔法ダメージ（攻撃力4）｜周囲を照らす（光量8）","","","","","","","","","27","30","49","33","38","44","22","24","23","10","4","4","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_gold_lantern","金のランタン","探索","金色に磨かれた上質なランタン。重いが、明るさと丈夫さに優れる。","8","23","680","none","area:light:8:0","5","fire","0","135","1.15","207","0","fixed","light_source,metal,glass,fire,medium","敵に火ダメージ（攻撃力5）｜周囲を照らす（光量8）","","","","","","","","","","","","","","","27","","","39","27","56","36","27","42","21","13","18","9","9","12","5","9","11","5","8","10","5","7","9","4","6","8","4","5","7","3","5","6","3","4","5","2","3","4","2"
"item_moonlight_lantern","月明かりのランタン","探索","月のような淡い光を放つランタン。暗い地底を広く静かに照らす。","10","28","820","none","area:light:9:0","5","magic","0","125","1.1","10","0","fixed","light_source,metal,glass,magic,medium","敵に魔法ダメージ（攻撃力5）｜周囲を照らす（光量9）","","","","","","","","","","","","","","","","","","","","","42","","54","48","20","59","37","20","55","29","19","50","27","17","46","24","15","41","22","14","37","19","12","32","17","10","27","14","8","23","12","7","18","10"
"item_firefly_bottle","ホタル瓶","探索","ホタルが入った瓶。隠れたものに近づくと光が強くなる。","3","7","370","none","area:[detect_hidden,light]:[5,4]:0","2","magic","0","45","0.5","11","0","fixed","hidden_detector,glass,fragile,light_source,small,contact_damage,magic","敵に魔法ダメージ（攻撃力2）｜隠し要素を探知する｜周囲を照らす（光量4）","","","22","","37","25","52","41","19","24","14","5","6","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_compass","コンパス","探索","宝の気配がする方向をふらふら指す小さな道具。","3","6","340","none","area:detect_treasure:7:0","2","blunt","0","60","0.3","12","0","fixed","treasure_detector,metal,small,contact_damage","敵に打撃ダメージ（攻撃力2）｜宝を探知する（範囲7）","","","23","41","41","23","52","37","16","16","9","3","3","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_gravity_stone","重力石","軌道","持つと少し重く感じる石。軌道を内側へ引き寄せる。","4","9","430","none","orbit:[orbit_gravity,orbit_power]:[0.86,1.12]:0","4","blunt","0","100","1.6","13","0","spin:80","stone,orbit_inner,heavy,medium","敵に打撃ダメージ（攻撃力4）｜軌道をまとまりやすくする（0.86倍）｜軌道出力を変える（1.12倍）","","","17","","","25","28","41","25","28","26","11","11","9","4","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_antigravity_stone","反重力石","軌道","ふわふわ浮く不思議な石。軌道を外側へ広げる。","4","9","420","none","orbit:[orbit_antigravity,orbit_speed]:[1.18,1.08]:0","3","blunt","0","80","0.4","14","0","spin:80","stone,orbit_outer,medium","敵に打撃ダメージ（攻撃力3）｜軌道を広げやすくする（1.18倍）｜軌道速度を変える（1.08倍）","","","17","","","25","28","41","25","28","26","11","11","9","4","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_orbit_stake","軌道杭","軌道","空中に軌道の芯を打ち込むための杭。位置ずらしを助ける。","5","13","570","none","orbit:[orbit_anchor,orbit_shift]:[1,1.22]:0","5","pierce","0","100","1.3","15","-35","outward","metal,medium,pointed","敵に刺突ダメージ（攻撃力5）｜軌道を安定させる｜軌道ずらし性能を変える（1.22倍）","","","","","","","","","26","30","45","26","30","34","16","15","14","6","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_coin_bag","金貨袋","宝","金貨が詰まった袋。回すとじゃらじゃらうるさい。","2","3","240","none","enemy:coin_drop_chance:20:0","1","blunt","0","20","0.8","16","0","fixed","treasure,money,cloth,small,trinket","敵に打撃ダメージ（攻撃力1）｜コインを落としやすくする（20%）","12","12","8","16","11","5","10","5","2","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_apple","リンゴ","回復","赤くて普通のリンゴ。食べると少し元気になる。","1","1","40","player:heal:24:0","enemy:heal:24:0","0","none","0","1","0.2","17","0","fixed","food,apple,consumable,small,soft,crisp","HPを回復する（24）","68","19","3","54","12","1","21","4","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_good_apple","いいリンゴ","回復","つやがあっておいしそうなリンゴ。普通よりしっかり元気になる。","2","7","90","player:heal:48:0","enemy:heal:48:0","0","none","0","1","0.2","18","0","fixed","food,apple,consumable,small,soft,crisp","HPを回復する（48）","","","4","","19","4","63","21","3","29","7","1","7","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_luxury_apple","高級リンゴ","回復","妙に高そうなリンゴ。食べるとかなり元気になる。","4","16","190","player:heal:90:0","enemy:heal:90:0","0","none","0","1","0.3","19","0","fixed","food,apple,consumable,small,soft,crisp","HPを回復する（90）","","","","","","","","","","","18","5","49","24","5","49","18","3","17","5","1","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_power_macaron","力のマカロン","強化","食べると妙に力がわいてくるマカロン。","2","8","120","player:buff_attack:1.25:14","enemy:buff_attack:1.25:14","0","none","0","1","0.1","20","0","fixed","food,consumable,small","攻撃力を上げる（1.25倍）","","","9","","22","11","48","29","10","33","13","3","10","4","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_speed_candy","すばやいアメ","強化","なめると足が軽くなるアメ。落ち着きも少しなくなる。","2","8","120","player:buff_speed:1.22:14","enemy:buff_speed:1.22:14","0","none","0","1","0.1","21","0","fixed","food,candy,consumable,small","移動速度を上げる（1.22倍）","","","9","","22","11","48","29","10","33","13","3","10","4","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_hard_cookie","かたいクッキー","強化","歯ごたえが強すぎるクッキー。食べると妙に身が固まる。","2","8","120","player:buff_defense:1.25:14","enemy:buff_defense:1.25:14","1","blunt","0","2","0.2","22","0","fixed","food,cookie,consumable,small,hard","敵に打撃ダメージ（攻撃力1）｜防御力を上げる（1.25倍）","","","9","","22","11","48","29","10","33","13","3","10","4","1","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_giant_potion","巨大化薬","強化","飲むと体が大きくなる薬。扱いを間違えると敵も大きくなる。","5","18","320","player:status_giant:1.45:12","enemy:status_giant:1.45:12","0","none","0","1","0.4","23","0","fixed","consumable,potion,glass,fragile,small","巨大化状態を付与（1.45倍）｜敵を巨大化させる","","","","","","","","","","","","14","","31","16","39","34","13","25","16","5","8","5","1","1","1","","1","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"item_poison_apple","毒リンゴ","弱体","見るからに体に悪そうなリンゴ。食べない方がいい。","2","4","80","player:status_poison:1:8","enemy:status_poison:1:8","0","none","0","1","0.2","24","0","fixed","food,apple,consumable,poison,small,soft,crisp","毒状態を付与｜敵を毒させる","","14","3","44","15","2","35","10","1","5","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_slow_candy","のろまアメ","弱体","食べると動きが重くなるアメ。味も少し重い。","2","4","80","player:status_slow:0.65:8","enemy:status_slow:0.65:8","0","none","0","1","0.1","25","0","fixed","food,candy,consumable,small","鈍足状態を付与｜敵を鈍足させる","","14","3","44","15","2","35","10","1","5","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_paralyze_apple","麻痺リンゴ","弱体","舌がしびれるリンゴ。食べる理由はあまりない。","3","8","120","player:status_paralyze:1:8","enemy:status_paralyze:1:8","0","none","0","1","0.2","26","0","fixed","food,apple,consumable,small,soft,crisp","麻痺状態を付与（8秒）｜敵を麻痺させる（8秒）","","","3","","13","4","37","17","3","25","8","1","8","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_sleep_apple","ねむリンゴ","弱体","食べると強烈に眠くなるリンゴ。とても静か。","3","8","120","player:status_sleep:1:8","enemy:status_sleep:1:8","0","none","0","1","0.2","27","0","fixed","food,apple,consumable,small,soft,crisp","睡眠状態を付与（8秒）｜敵を睡眠させる（8秒）","","","3","","13","4","37","17","3","25","8","1","8","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_soft_cookie","ふにゃクッキー","弱体","食べると体の力が抜けるクッキー。持つだけで少し不安。","3","8","130","player:debuff_defense:0.75:10","enemy:debuff_defense:0.75:10","0","none","0","1","0.2","28","0","fixed","food,cookie,consumable,small,soft","敵の防御力を下げる（0.75倍）","","","3","","13","4","37","17","3","25","8","1","8","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_fire_book","火の魔導書","魔導書","火の魔法が書かれた本。近くで読むと少し熱い。","4","9","510","player:cast_fire:12:1","player:cast_fire:12:0;area:light:2:0","11","fire","0","32","0.6","29","0","fixed","book,magic,paper,fragile,fire,small","敵に火ダメージ（攻撃力11）｜火魔法を発動する（威力12）","","","49","","","72","23","66","72","23","41","30","9","15","11","2","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_inferno_book","業炎の魔導書","魔導書","激しい炎の魔法が書かれた上級の魔導書。ページの端が赤くゆらめいている。","6","21","980","player:cast_fire:20:0.7","player:cast_fire:20:0;area:light:2:0","18","fire","0","48","0.7","30","0","fixed","book,magic,paper,fragile,fire,small","敵に火ダメージ（攻撃力18）｜火魔法を発動する（威力20）","","","","","","","","","","","","","","","81","","67","90","23","67","60","15","35","28","5","10","8","3","6","4","3","6","4","2","5","4","2","5","3","2","4","3","2","4","3","1","3","2","1","3","2","1","2","1"
"item_ice_book","氷の魔導書","魔導書","氷の魔法が書かれた本。ページが少し冷たい。","4","8","500","player:cast_ice:9:1.2","player:cast_ice:9:0;area:light:2:0","11","ice","0","32","0.6","31","0","fixed","book,magic,paper,fragile,ice,small","敵に氷ダメージ（攻撃力11）｜氷魔法を発動する（威力9）","","","58","","51","75","27","68","66","18","31","22","6","9","7","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_icecrystal_book","氷晶の魔導書","魔導書","氷晶の魔法が書かれた上級の魔導書。開くと細かな氷の粒がこぼれる。","6","20","970","player:cast_ice:15:0.8","player:cast_ice:15:0;area:light:2:0","17","ice","0","46","0.7","32","0","fixed","book,magic,paper,fragile,ice,small","敵に氷ダメージ（攻撃力17）｜氷魔法を発動する（威力15）","","","","","","","","","","","","60","","","89","19","73","89","22","57","48","11","25","19","3","6","5","1","3","2","1","3","2","1","3","2","1","3","2","1","2","2","1","2","1","1","2","1","1","1","1","","1","1"
"item_thunder_book","雷の魔導書","魔導書","雷の魔法が書かれた本。たまに勝手に光る。","5","11","610","player:cast_thunder:7:1.6","player:cast_thunder:7:0;area:light:2:0","13","thunder","0","34","0.6","33","0","fixed","book,magic,paper,fragile,thunder,small","敵に雷ダメージ（攻撃力13）｜雷魔法を発動する（威力7）","","","","","","65","","54","84","26","63","54","16","33","25","5","10","7","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_thunderclap_book","雷鳴の魔導書","魔導書","雷鳴の魔法が書かれた上級の魔導書。閉じていても低く鳴っている。","7","25","1160","player:cast_thunder:11:1.0","player:cast_thunder:11:0;area:light:2:0","20","thunder","0","50","0.7","34","0","fixed","book,magic,paper,fragile,thunder,small","敵に雷ダメージ（攻撃力20）｜雷魔法を発動する（威力11）","","","","","","","","","","","","","","","","","","78","","70","90","21","77","78","16","48","41","13","37","28","12","34","26","11","31","24","10","28","21","9","25","19","8","22","17","7","19","14","6","15","12","4","12","9"
"item_wind_book","風の魔導書","魔導書","風の魔法が書かれた本。開くとページが勝手にめくれる。","4","7","490","player:cast_wind:9:1.2","player:cast_wind:9:0;area:light:2:0","11","wind","0","32","0.5","35","0","fixed","book,magic,paper,fragile,wind,small","敵に風ダメージ（攻撃力11）｜風魔法を発動する（威力9）｜敵をノックバックさせる（1）","","","66","","60","75","29","66","58","13","22","16","3","5","4","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_gale_book","疾風の魔導書","魔導書","疾風の魔法が書かれた上級の魔導書。持つと周囲の空気が細く流れる。","6","19","940","player:cast_wind:15:0.8","player:cast_wind:15:0;area:light:2:0","17","wind","0","44","0.55","36","0","fixed","book,magic,paper,fragile,wind,small","敵に風ダメージ（攻撃力17）｜風魔法を発動する（威力15）｜敵をノックバックさせる（1.5）","","","","","","","","","","","","71","","57","90","22","76","81","19","46","37","7","16","13","1","3","2","1","2","1","1","1","1","1","1","1","1","1","1","","1","1","","1","1","","1","1","","1","","","1",""
"item_earth_book","土の魔導書","魔導書","土の魔法が書かれた本。少し土のにおいがする。","5","12","680","player:cast_earth:8:1.2","player:cast_earth:8:0;area:light:2:0","13","earth","10","45","0.8","37","0","fixed","book,magic,paper,earth,magic_dig_tool,medium","敵に土ダメージ（攻撃力13）｜土魔法を発動する（威力8）｜土を掘れる（掘削力10）","","","","","","54","","","80","26","69","65","21","43","34","8","15","12","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_earthvein_book","地脈の魔導書","魔導書","地脈の魔法が書かれた上級の魔導書。地面の奥を流れる魔力に反応する。","7","24","1240","player:cast_earth:13:0.8","player:cast_earth:13:0;area:light:2:0","19","earth","20","60","0.9","38","0","fixed","book,magic,paper,earth,magic_dig_tool,medium","敵に土ダメージ（攻撃力19）｜土魔法を発動する（威力13）｜硬い地形を掘れる（掘削力20）","","","","","","","","","","","","","","","","","","89","16","77","90","21","70","66","13","36","30","10","26","20","9","24","18","8","22","17","7","20","15","6","18","13","6","15","12","5","13","10","4","11","8","3","9","7"
"item_iron_sword","鉄の剣","武器","扱いやすい普通の剣。攻撃力と重さのバランスがよい。","2","6","410","none","none","18","slash","1","75","1.5","39","-25","outward","weapon,metal,blade,medium","敵に斬撃ダメージ（攻撃力18）","","","49","44","62","49","55","56","33","17","14","7","3","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_ice_sword","氷の剣","武器","冷たい刃を持つ剣。斬りつけた敵に氷の力を流し込む。","4","14","820","none","item:slash_power:1.12:0","31","ice","1","95","1.45","40","-25","outward","weapon,metal,blade,ice,medium","敵に氷ダメージ（攻撃力31）","","","","","","","","","51","37","70","64","46","64","43","29","33","20","5","6","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_silver_sword","銀の剣","武器","軽く磨かれた銀色の剣。振り抜きやすく、急所を狙いやすい。","4","13","830","none","item:[critical_chance,critical_power]:[18,1.5]:0","30","slash","1","90","1.05","41","-25","outward","weapon,metal,blade,medium","敵に斬撃ダメージ（攻撃力30）｜会心率を上げる（18%）","","","","","","","","","58","43","72","58","43","54","35","21","23","14","3","3","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_flameblade_sword","炎刃の剣","武器","炎をまとった刃を持つ剣。癖が少なく、火力も安定している。","5","17","1020","none","item:slash_power:1.15:0","36","fire","1","100","1.55","42","-25","outward","weapon,metal,blade,fire,medium","敵に火ダメージ（攻撃力36）","","","","","","","","","","","","71","33","74","71","42","67","48","19","25","16","5","6","4","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_galaxy_sword","銀河の剣","武器","星の流れを刃に宿した最上位の剣。攻撃、会心、扱いやすさのすべてが高い。","7","27","1580","none","item:[critical_chance,critical_power]:[14,1.6]:0;orbit:orbit_power:1.1:0","50","slash","2","130","1.6","43","-25","outward","weapon,metal,blade,magic,medium","敵に斬撃ダメージ（攻撃力50）｜会心率を上げる（14%）｜軌道出力を変える（1.1倍）","","","","","","","","","","","","","","","","","","","","","86","26","82","86","33","75","58","31","65","44","28","60","40","26","54","37","23","49","33","21","44","29","18","38","26","15","33","22","13","27","18","10","22","15"
"item_great_sword","大剣","武器","重く大きな剣。扱いにくいが、当たれば強い。","4","15","880","none","enemy:knockback:1:0","37","slash","1","120","3.5","44","-25","outward","weapon,metal,blade,heavy,large","敵に斬撃ダメージ（攻撃力37）｜敵をノックバックさせる（1）","","","","","","","","","43","","64","67","46","70","51","37","44","27","9","10","6","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"item_giantblade_great_sword","巨刃の大剣","武器","巨大な刃を持つ大剣。回転に巻き込まれた敵を力任せに弾く。","6","25","1430","none","enemy:knockback:1.45:0","51","slash","2","150","4.3","45","-25","outward","weapon,metal,blade,heavy,large","敵に斬撃ダメージ（攻撃力51）｜敵をノックバックさせる（1.45）","","","","","","","","","","","","","","","","","","63","","71","82","37","78","63","29","49","33","24","38","23","22","35","21","20","31","19","18","28","17","16","25","15","14","22","13","12","19","11","10","16","10","8","13","8"
"item_starbreaker_great_sword","星砕きの大剣","武器","星の殻すら砕くと言われる重い大剣。速く回るほど破壊力が増す。","8","30","1980","none","orbit:damage_speed:1.32:0","60","slash","3","175","5.4","46","-25","outward","weapon,metal,blade,heavy,large","敵に斬撃ダメージ（攻撃力60）｜速度によるダメージ補正を強める（1.32倍）","","","","","","","","","","","","","","","","","","","","","64","","","90","22","86","90","27","90","81","24","83","74","22","76","67","20","68","61","18","61","54","16","53","47","13","45","40","11","38","34","9","30","27"
